Number of binaries: 15576
Number of binaries with signatures: 2874

2317 PKCS_DigestDecoration_RIPEMD160 [..15]: 69

2330 DES_fp [..64]: 77

2331 DES_ei [..48]: 77

2332 DES_p32i [..32]: 77

2335 Blowfish_s_init [32.le.4096]: 27

2361 Boucher randgen5 [32.le.24&]: 2

2371 DEAL [32.be.52&]: 2

2402 Lucifer (outerbridge) DFLTKY [..16]: 32

2412 Noekeon Nessie round [..17]: 15

2415 Misty md5const [32.le.256]: 23

2416 Misty md5const [32.be.256]: 125

2417 MBC2 [32.le.248&]: 141

2418 MBC2 [32.be.248&]: 158

2430 Misty s7 [..128]: 11

2434 Misty s9 [16.be.1024]: 11

2508 Electronic Arts TQI base_table2 [..64]: 3

2588 bitmask [32.le.128]: 12

2589 bitmask [32.be.128]: 1

2608 RNG (original numbers) [32.le.8&]: 1

2660 base64 map [..80]: 10

2662 libavformat CODEC_ID_AMR_WB packet_size [..16]: 3

2671 libavformat ff_qt_default_palette_256 [..1024]: 2

2675 libavcodec swb_offset_1024_32 [16.le.104]: 5

2746 libavcodec celp_math tab_exp2 G729_BITEXACT [16.le.66]: 6

2748 libavcodec celp_math tab_log2 G729_BITEXACT [16.le.66]: 3

2808 libavcodec ff_interleaved_ue_golomb_vlc_code [..256]: 3

2809 libavcodec ff_interleaved_se_golomb_vlc_code [..256]: 2

2811 libavcodec h261_cbp_tab [..126]: 3

2814 libavcodec h263 inter_vlc [16.le.412]: 3

2816 libavcodec h263 intra_vlc_aic [16.le.412]: 2

2819 libavcodec h264 cabac_context_init_I [..920]: 3

2820 libavcodec h264 cabac_context_init_PB [..2760]: 2

2875 libavcodec ff_mjpeg_val_ac_luminance [..162]: 4

2876 libavcodec ff_mjpeg_val_ac_chrominance [..162]: 4

2892 libavcodec mpeg4 inter_rvlc [16.le.680]: 2

2894 libavcodec mpeg4 intra_rvlc [16.le.680]: 3

2896 libavcodec mpeg1_vlc [16.le.452]: 2

2898 libavcodec mpeg2_vlc [16.le.452]: 3

2899 libavcodec mpeg2_vlc [16.be.452]: 3

2902 libavcodec msmpeg4 table1_mv_code [16.le.2200]: 2

2904 libavcodec msmpeg4 table0_mv_code [16.le.2200]: 2

2976 libavcodec svq3_dequant_coeff [32.le.128]: 3

3022 libavcodec wp_exp2_table [..256]: 3

3023 libavcodec wp_log2_table [..256]: 3

3033 unlzx table_one [..32]: 13

3036 unlzx table_three [16.le.32]: 44

3037 unlzx table_three [16.be.32]: 15

3038 unlzx table_three [32.le.64]: 13

3039 unlzx table_three [32.be.64]: 5

3046 lzari [32.le.12&]: 16

3048 DMC compression [32.le.16&]: 101

3049 DMC compression [32.be.16&]: 458

3050 compression algorithm seen in the game DreamKiller [32.le.12&]: 94

3051 compression algorithm seen in the game DreamKiller [32.be.12&]: 62

3053 function where is handled the ZipCrypto password [32.be.12&]: 1

129  Adler CRC32 (0x191b3141) [32.le.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


130  Adler CRC32 (0x191b3141) [32.be.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


131  Adler CRC32 (0x01c26a37) [32.le.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


132  Adler CRC32 (0x01c26a37) [32.be.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


133  Adler CRC32 (0xb8bc6765) [32.le.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


134  Adler CRC32 (0xb8bc6765) [32.be.1024]
C:\analysing-script\bins\29lv651ue-audiQ7(1+2)MERGED\29lv651ue-audiQ7(1+2)MERGED.bin
C:\analysing-script\bins\4.024CRP2OK\4.024CRP2OK.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\4.036.bin
C:\analysing-script\bins\4.036+6.070\4.036+6.070\6.070.bin
C:\analysing-script\bins\Firmwares\K10033818.bin
C:\analysing-script\bins\Firmwares\kess 4.024.bin
C:\analysing-script\bins\FW 4.036\FW 4.036\4036 fw.bin
C:\analysing-script\bins\k-tag_repair\k-tag.bin
C:\analysing-script\bins\kess 4.024\kess 4.024.bin
C:\analysing-script\bins\kess-lpc2478-66668'189\kess-lpc2478-66668'189.bin
C:\analysing-script\bins\KTAG UPDATE\Ktag-Full-2-L14015743.bin


147  CRC-8-SAE J1850 [crc8.0x1d lenorev int_min.256]
C:\analysing-script\bins\10tsiori\10tsiori.bin
C:\analysing-script\bins\320d original edc17c50-56\320d original edc17c50-56.bin
C:\analysing-script\bins\55271527-9df-egea-1.3\55271527-9df-egea-1.3\spc5644 io.bin
C:\analysing-script\bins\A272 153 37 79\M5BW016xB - External Flash.bin
C:\analysing-script\bins\A272 153 45 79\Mercedes A272 153 45 79 - Bosch ME9.7 - M58BW016xB - Flash(Ori).bin
C:\analysing-script\bins\A2731535079 0261209210 58BW016\A2731535079 0261209210 58BW016.bin
C:\analysing-script\bins\BL IROM_\BL IROM_.bin
C:\analysing-script\bins\BL IROM_ecu\BL IROM_ecu.bin
C:\analysing-script\bins\BMW 6577 9239985 01 crash data\BMW 6577 9239985 01 crash data\flash_main.bin
C:\analysing-script\bins\CAS4 5M48H DEAD\Motordeal 05-02-2018 P-Flash.bin
C:\analysing-script\bins\CAS4 9s12x_5M48H\cas4_5M48_H_P-flash_518D_JR_ori.bin
C:\analysing-script\bins\ED17CP10 SPRINTER ORI\ED17CP10 SPRINTER ORI\READ EXT FLASH EDC17CP10 G NEVES.bin
C:\analysing-script\bins\ED17CP10 SPRINTER ORI\ED17CP10 SPRINTER ORI\READ-EXT-FLASH-EDC17CP10-G-NEVES-mod-dpf-egr.bin
